location_name,location_id,ihme_loc_id,level,region_name,super_region_name
Merton,44734,GBR_44734,6,Western Europe,High-income
Newham,44753,GBR_44753,6,Western Europe,High-income
Redbridge,44733,GBR_44733,6,Western Europe,High-income
Richmond upon Thames,44727,GBR_44727,6,Western Europe,High-income
Southwark,44752,GBR_44752,6,Western Europe,High-income
Sutton,44739,GBR_44739,6,Western Europe,High-income
Tower Hamlets,44758,GBR_44758,6,Western Europe,High-income
Waltham Forest,44747,GBR_44747,6,Western Europe,High-income
Wandsworth,44746,GBR_44746,6,Western Europe,High-income
Westminster,44730,GBR_44730,6,Western Europe,High-income
North East England,4618,GBR_4618,5,Western Europe,High-income
County Durham,44649,GBR_44649,6,Western Europe,High-income
Darlington,44643,GBR_44643,6,Western Europe,High-income
Gateshead,44650,GBR_44650,6,Western Europe,High-income
Hartlepool,44654,GBR_44654,6,Western Europe,High-income
Middlesbrough,44651,GBR_44651,6,Western Europe,High-income
Newcastle upon Tyne,44646,GBR_44646,6,Western Europe,High-income
North Tyneside,44647,GBR_44647,6,Western Europe,High-income
Northumberland,44644,GBR_44644,6,Western Europe,High-income
Redcar and Cleveland,44648,GBR_44648,6,Western Europe,High-income
South Tyneside,44652,GBR_44652,6,Western Europe,High-income
Stockton-on-Tees,44645,GBR_44645,6,Western Europe,High-income
